---TextKey---;---Translated Text---
Dialog_Intro_1;सैम: मैं कहाँ हूँ? यह कौन सी जगह है?
Dialog_Intro_2;...
Dialog_Intro_3;सैम: लगता है कि करने के लिए कुछ नहीं है लेकिन कोशिश करनी पड़ेगी और यहां से निकलना पड़ेगा
Dialog_Mom_1;"माँ: ओह वहाँ तुम हो,"" सैमी!"
Dialog_Mom_2;सैम: माँ!? मां तुम यहां क्या कर रही हो ? यह जगह कौन सी है ?
Dialog_Mom_3;माँ: ओह, तुम इसके बारे में चिंता मत करो, मैं बस तुम्हें देखकर खुश हूँ।
Dialog_Mom_4;सैम: माँ... मुझे लगता है कि यह थोड़ी चिंता की बात है।
Dialog_Mom_5;माँ: नासमझ मत बनो तुम्हारा आसपास रहना मुझे अच्छा लगता है क्योंकि तुम इतनी मेहनत जो करते हो…
Dialog_Mom_6;सैम: पहले से तैयार रहना बेहतर है
Dialog_Mom_7;"माँ: ठीक है, तो भी... सैमी,"" हमें अच्छा लगेगा अगर तुम रात के खाने के लिए आओगे"
Dialog_Mom_8;"सैम: मैं... मैं इसके बारे में सोचूंगा, ठीक है,"" माँ?"
Dialog_Mom_9;"माँ: यह शानदार है! मैं तुम्हारा पसंदीदा भी बनाऊंगी! ओह,"" इसे अपने साथ ले जाओ। तुम्हें बाद में इसकी आवश्यकता हो सकती है। दूसरों के लिए नजर रखना।"
Dialog_Mom_10;*आपके पास एक साथी चमगादड़ है*
Dialog_Mom_11;सैम: …। धन्यवाद?
Dialog_Mom_12;सैम * विचार करता हुआ*: यह बहुत अजीब है।
Dialog_Dad_1;सैम: ओह। आप भी यहीं हैं पापा।
Dialog_Dad_2;"पिताजी: सैमी! अरे,"" बेटा!"
Dialog_Dad_3;सैम: और आप भी डरावना जंगल नहीं देख सकते । बहुत बढ़िया।
Dialog_Dad_4;पापा: क्यों ना हम बाहर चलकर खेलें ? तुमने काफी वक्त से बेसबॉल को आजमाया है।
