---TextKey---;---Translated Text---;---OriginalText---
Dialog_Intro_1;Sam: ¿Dónde estoy? ¿Qué es este lugar?;Sam: Where am I? What is this place?
Dialog_Intro_2;"""...""";"""..."""
Dialog_Intro_3;Sam: Supongo que solo me queda buscar la salida;Sam: Guess there’s nothing to do but try and get out of here…
Dialog_Mom_1;Mamá: Oh, ahí estas Sammy;Mom: Oh there you are, Sammy!
Dialog_Mom_2;Sam: ¿Mamá?, ¿Qué haces en este lugar?;Mom!? What are you doing here? What even is this place?
Dialog_Mom_3;Mamá: Oh, no te preocupes, me alegro de verte;Mom: Oh don’t you worry about that, I’m just happy to see you.
Dialog_Mom_4;Sam: Mamá… Creo que esto es un poco preocupante-;Sam: Mom… I think this is a little bit more concerning-
Dialog_Mom_5;Mamá: No te preocupes. Siempre es bueno verte ya que trabajas tanto;Mom: Don’t be silly. It’s always good to have you around since you work so hard.
Dialog_Mom_6;Sam: Me gusta estar preparado…;Sam: It’s good to be prepared…
Dialog_Mom_7;Mamá: Bueno, aún así… Sammy, nos ponemos al día durante la cena?;Mom: Well, even so… Sammy, we would love to catch up over dinner? 
Dialog_Mom_8;Sam: Yo… Lo pensare.;Sam: I… I’ll think about it, okay, Mom?
Dialog_Mom_9;Mamá: Perfecto, te preparare tu comida favorita. Oh, llevate esto, puede que lo necesites. Fijate por si encuentras otros;Mom: That’s fantastic! I’ll even make your favorite! Oh, take this with you. You might need it later. Keep an eye out for the others.
Dialog_Mom_10;*Conseguiste un muercielago de compañia*;*You got a companion bat*
Dialog_Mom_11;Sam:Eh… ¿Gracias?;Sam: Uh…. thanks? 
Dialog_Mom_12;Sam: Esto es muy raro;Sam *thinking*: This is so weird.
Dialog_Dad_1;Sam: ¿También estás aquí papá? ;Sam: Oh. You’re here too, Dad.
Dialog_Dad_2;Papá: ¡Sammy! ¿Qué pasa campeon?;Dad: Sammy! Hey there, Sport!
Dialog_Dad_3;Sam: Y obviamente no ves el bosque tenebroso tampoco, genial;Sam: Aaaand you can’t see the spooky forest either. Great.
Dialog_Dad_4;Papá: ¿Qué tal si jugamos football un poco? Hace mucho que no practicas;Dad: How about we go outside and play some catch? You haven’t given baseball a try in awhile.
Dialog_Dad_5;Sam: Eso es porque no quede en el equipo…;Sam: That’s because I wasn’t picked for the team…
Dialog_Dad_6;Papá: Olvidate de eso, ¡Te encanta el football! No puedes dejar que eso te arruine algo que amas tanto, ¡podemos practicar juntos!;Dad: Oh forget about that! You love the sport! You can’t let one setback ruin something you loved so much. We can keep practicing together!
Dialog_Dad_7;Sam: ¿No estas molesto porque quedara fuera?;Sam: …You’re not mad I didn’t make it first try?
Dialog_Dad_8;Papá: ¡Pero claro que no! Pero quedaras eventualmente si no te rinder;Dad: Of course not! But you will be if you don't  give up.
Dialog_Dad_9;Sam: Eh… esta bien, practiquemos juntos despues ;Sam: Huh… Yeah. I’ll practice with you!
